,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
372,Dryden Hunt,CGY,L,28,11/24/1995,Cranbrook,BC,CAN,CAN,72,193,-,-,-,-,-
521,Dylan Coghlan,CAR,D,26,2/19/1998,Duncan,BC,CAN,CAN,74,208,-,-,-,-,-
700,Dylan Cozens,BUF,C,23,2/9/2001,Whitehorse,YT,CAN,CAN,75,195,2019,BUF,1,7,7
153,Dylan DeMelo,WPG,D,31,5/1/1993,London,ON,CAN,CAN,72,195,2011,S.J,6,28,179
842,Dylan Guenther,ARI,R,21,4/10/2003,Edmonton,AB,CAN,CAN,74,175,2021,ARI,1,9,9
769,Dylan Holloway,EDM,L,22,9/23/2001,Calgary,AB,CAN,CAN,73,203,2020,EDM,1,14,14
325,Dylan Larkin,DET,C,27,7/30/1996,Waterford,MI,USA,USA,73,198,2014,DET,1,15,15
136,Dylan McIlrath,WSH,D,32,4/20/1992,Winnipeg,MB,CAN,CAN,77,232,2010,NYR,1,10,10
569,Dylan Samberg,WPG,D,25,1/24/1999,Saginaw,MN,USA,USA,76,219,2017,WPG,2,12,43
398,Dylan Strome,WSH,C,27,3/7/1997,Mississauga,ON,CAN,CAN,75,200,2015,ARI,1,3,3
552,Eeli Tolvanen,SEA,R,25,4/22/1999,Vihti,,FIN,FIN,70,191,2017,NSH,1,30,30
586,Eetu Luostarinen,FLA,C,25,9/2/1998,Siilinjarvi,,FIN,FIN,75,190,2017,CAR,2,11,42
726,Egor Afanasyev,NSH,L,23,1/23/2001,Tver,,RUS,RUS,76,211,2019,NSH,2,14,45
683,Egor Zamula,PHI,D,24,3/30/2000,Chelyabinsk,,RUS,RUS,75,177,-,-,-,-,-
290,Elias Lindholm,"CGY, VAN",C,29,12/2/1994,Boden,,SWE,SWE,73,202,2013,CAR,1,5,5
554,Elias Pettersson,VAN,C,25,11/12/1998,Sundsvall,,SWE,SWE,74,176,2017,VAN,1,5,5
590,Emil Bemstrom,"CBJ, PIT","C, R",25,6/1/1999,Nykoping,,SWE,SWE,72,195,2017,CBJ,4,24,117
826,Emil Heineman,MTL,L,22,11/16/2001,Leksand,,SWE,SWE,72,194,2020,FLA,2,12,43
867,Emil Lilleberg,T.B,D,23,2/2/2001,,,NOR,,74,192,2021,ARI,4,11,107
614,Eric Robinson,"BUF, CBJ",L,29,6/14/1995,BELLMAWR,NJ,USA,USA,74,205,-,-,-,-,-
575,Erik Brannstrom,OTT,D,24,9/2/1999,Eksjo,,SWE,SWE,70,185,2017,VGK,1,15,15
388,Erik Cernak,T.B,D,27,5/28/1997,Kosice,,SVK,SVK,76,224,2015,L.A,2,13,43
132,Erik Gudbranson,CBJ,D,32,1/7/1992,Ottawa,ON,CAN,CAN,77,222,2010,FLA,1,3,3
235,Erik Gustafsson,NYR,D,32,3/14/1992,Nynashamn,,SWE,SWE,72,197,2012,EDM,4,2,93
102,Erik Haula,N.J,L,33,3/23/1991,Pori,,FIN,FIN,71,191,2009,MIN,7,1,182
23,Erik Johnson,"BUF, PHI",D,36,3/21/1988,Bloomington,MN,USA,USA,76,225,2006,STL,1,1,1
58,Erik Karlsson,PIT,D,34,5/31/1990,Landsbro,,SWE,SWE,72,190,2008,OTT,1,15,15
216,Esa Lindell,DAL,D,30,5/23/1994,Vantaa,,FIN,FIN,75,220,2012,DAL,3,13,74
405,Ethan Bear,WSH,D,26,6/26/1997,Regina,SK,CAN,CAN,71,197,2015,EDM,5,3,124
862,Ethan Del Mastro,CHI,D,21,1/15/2003,Burlington,ON,CAN,CAN,76,210,2021,CHI,4,9,105
623,Evan Bouchard,EDM,D,24,10/20/1999,Oakville,ON,CAN,CAN,75,194,2018,EDM,1,10,10
428,Evan Rodrigues,FLA,C,30,7/28/1993,Toronto,ON,CAN,CAN,71,184,-,-,-,-,-
80,Evander Kane,EDM,L,32,8/2/1991,Vancouver,BC,CAN,CAN,74,210,2009,ATL,1,4,4
9,Evgeni Malkin,PIT,C,37,7/31/1986,Magnitogorsk,,RUS,RUS,75,195,2004,PIT,1,2,2
46,Evgenii Dadonov,DAL,R,35,3/12/1989,Chelyabinsk,,RUS,RUS,71,189,2007,FLA,3,10,71
115,Evgeny Kuznetsov,"CAR, WSH",C,32,5/19/1992,Chelyabinsk,,RUS,RUS,74,207,2010,WSH,1,26,26
587,Fabian Zetterlund,S.J,L,24,8/25/1999,Karlstad,,SWE,SWE,71,220,2017,N.J,3,1,63
578,Filip Chytil,NYR,C,24,9/5/1999,Kromeriz,,CZE,CZE,74,204,2017,NYR,1,21,21
211,Filip Forsberg,NSH,L,29,8/13/1994,Ostervala,,SWE,SWE,73,205,2012,WSH,1,11,11
502,Filip Hronek,VAN,D,26,11/2/1997,Hradec Králové,,CZE,CZE,72,190,2016,DET,2,23,53
903,Filip Roos,CHI,D,25,1/5/1999,Gothenburg,,SWE,SWE,76,190,-,-,-,-,-
628,Filip Zadina,S.J,R,24,11/27/1999,Pardubice,,CZE,CZE,72,190,2018,DET,1,6,6
888,Frank Nazar,CHI,C,20,1/14/2004,,,USA,,69,175,2022,CHI,1,13,13
374,Frank Vatrano,ANA,R,30,3/14/1994,East Longmeadow,MA,USA,USA,71,197,-,-,-,-,-
313,Frederick Gaudreau,MIN,C,31,5/1/1993,Bromont,QC,CAN,CAN,72,184,-,-,-,-,-
352,Fredrik Olofsson,COL,L,28,5/27/1996,Helsingborg,,SWE,SWE,74,190,2014,CHI,4,8,98
555,Gabriel Vilardi,WPG,C,24,8/16/1999,Kingston,ON,CAN,CAN,75,215,2017,L.A,1,11,11
816,Gage Goncalves,T.B,C,23,1/16/2001,,,CAN,,72,181,2020,T.B,2,31,62
312,Garnet Hathaway,PHI,R,32,11/23/1991,Kennebunkport,ME,USA,USA,75,208,-,-,-,-,-
910,Gavin Brindley,CBJ,C,19,10/5/2004,,,USA,,69,175,2023,CBJ,2,2,34
899,Georgii Merkulov,BOS,C,23,10/10/2000,Ryazan,,RUS,RUS,71,179,-,-,-,-,-
486,Givani Smith,S.J,R,26,2/28/1998,Thornhill,ON,CAN,CAN,74,214,2016,DET,2,16,46
402,Glenn Gawdin,ANA,C,27,3/25/1997,Richmond,BC,CAN,CAN,73,191,2015,STL,4,25,116
722,Graeme Clarke,N.J,R,23,4/24/2001,Waconia,MN,USA,USA,72,175,2019,N.J,3,18,80
604,Grant Hutton,NYI,D,28,7/25/1995,Carmel,IN,USA,USA,76,214,-,-,-,-,-
636,Grigori Denisenko,VGK,L,23,6/24/2000,Novosibirsk,,RUS,RUS,71,186,2018,FLA,1,15,15
359,Gustav Forsling,FLA,D,28,6/12/1996,Linkoping,,SWE,SWE,72,186,2014,VAN,5,6,126
585,Gustav Lindstrom,"ANA, MTL",D,25,10/20/1998,Ostervala,,SWE,SWE,74,186,2017,DET,2,7,38
67,Gustav Nyquist,NSH,C,34,9/1/1989,Halmstad,,SWE,SWE,71,180,2008,DET,4,30,121
279,Gustav Olofsson,SEA,D,29,12/1/1994,Boras,,SWE,SWE,74,199,2013,MIN,2,16,46
194,Hampus Lindholm,BOS,D,30,1/20/1994,Helsingborg,,SWE,SWE,76,215,2012,ANA,1,6,6
508,Hardy Haman Aktell,WSH,D,25,7/4/1998,Kage,,Swe,,75,198,2016,NSH,4,17,108
320,Haydn Fleury,T.B,D,27,7/8/1996,Carlyle,SK,CAN,CAN,76,208,2014,CAR,1,7,7
801,Hendrix Lapierre,WSH,C,22,2/9/2002,Gatineau,QC,CAN,CAN,72,180,2020,WSH,1,22,22
565,Henri Jokiharju,BUF,D,24,6/17/1999,Oulu,,FIN,FIN,72,200,2017,CHI,1,29,29
719,Henry Thrun,S.J,D,23,3/12/2001,Southborough,MA,USA,USA,74,190,2019,ANA,4,8,101
258,Hudson Fasching,NYI,R,28,7/28/1995,Milwaukee,WI,USA,USA,75,204,2013,L.A,4,27,118
676,Hugh McGing,STL,L,25,7/11/1998,Chicago,IL,USA,USA,68,176,2018,STL,5,14,138
35,Ian Cole,VAN,D,35,2/21/1989,Ann Arbor,MI,USA,USA,73,225,2007,STL,1,18,18
574,Ian Mitchell,BOS,D,25,1/18/1999,St. Albert,AB,CAN,CAN,71,193,2017,CHI,2,26,57
657,Ilya Lyubushkin,"ANA, TOR",D,30,4/6/1994,Moscow,,RUS,RUS,74,200,-,-,-,-,-
741,Ilya Mikheyev,VAN,R,29,10/10/1994,Omsk,,RUS,RUS,74,192,-,-,-,-,-
824,Ilya Solovyov,CGY,D,23,7/20/2000,Mogilev,,BLR,BLR,75,208,2020,CGY,7,19,205
814,Isaak Phillips,CHI,D,22,9/28/2001,Barrie,ON,CAN,CAN,75,205,2020,CHI,5,17,141
624,Isac Lundestrom,ANA,C,24,11/6/1999,Gallivare,,SWE,SWE,72,193,2018,ANA,1,23,23
858,Isak Rosen,BUF,R,21,3/15/2003,Solna,,SWE,SWE,71,156,2021,BUF,1,14,14
337,Ivan Barbashev,VGK,C,28,12/14/1995,Moscow,,RUS,RUS,73,195,2014,STL,2,3,33
887,Ivan Miroshnichenko,WSH,L,20,2/4/2004,,,RUS,,73,185,2022,WSH,1,20,20
422,Ivan Provorov,CBJ,D,27,1/13/1997,Yaroslavl,,RUS,RUS,73,201,2015,PHI,1,7,7
833,J.J. Moser,ARI,D,24,6/6/2000,Biel,,CHE,CHE,73,173,2021,ARI,2,28,60
276,J.T. Compher,DET,L,29,4/8/1995,Northbrook,IL,USA,USA,72,190,2013,BUF,2,5,35
180,J.T. Miller,VAN,C,31,3/14/1993,East Palestine,OH,USA,USA,73,218,2011,NYR,1,15,15
232,Jaccob Slavin,CAR,D,30,5/1/1994,Denver,CO,USA,USA,75,207,2012,CAR,4,29,120
633,Jack Drury,CAR,C,24,2/3/2000,New York,NY,USA,USA,71,174,2018,CAR,2,11,42
382,Jack Eichel,VGK,C,27,10/28/1996,North Chelmsford,MA,USA,USA,74,207,2015,BUF,1,2,2
716,Jack Hughes,N.J,C,23,5/14/2001,Orlando,FL,USA,USA,71,175,2019,N.J,1,1,1
13,Jack Johnson,COL,D,37,1/13/1987,Indianapolis,IN,USA,USA,73,227,2005,CAR,1,3,3
642,Jack McBain,ARI,C,24,1/6/2000,Toronto,ON,CAN,CAN,75,201,2018,MIN,3,1,63
779,Jack Quinn,BUF,R,22,9/19/2001,Ottawa,ON,CAN,CAN,73,185,2020,BUF,1,8,8
408,Jack Roslovic,"CBJ, NYR",C,27,1/29/1997,Columbus,OH,USA,USA,73,200,2015,WPG,1,25,25
668,Jack St. Ivany,PIT,D,24,7/22/1999,Manhattan Beach,CA,USA,USA,75,198,2018,PHI,4,19,112
558,Jack Studnicka,"S.J, VAN",C,25,2/18/1999,Windsor,ON,CAN,CAN,73,187,2017,BOS,2,22,53
797,Jack Thompson,"S.J, T.B",D,22,3/19/2002,,,CAN,,73,178,2020,T.B,3,31,93
863,Jackson Blake,CAR,R,20,8/3/2003,,,USA,,70,152,2021,CAR,4,13,109
736,Jackson LaCombe,ANA,D,23,1/9/2001,Eden Prairie,MN,USA,USA,73,171,2019,ANA,2,8,39
650,Jacob Bernard-Docker,OTT,D,23,6/30/2000,Canmore,AB,CAN,CAN,72,190,2018,OTT,1,26,26
589,Jacob Bryson,BUF,D,26,11/18/1997,London,ON,CAN,CAN,69,176,2017,BUF,4,6,99
688,Jacob Lucchini,MIN,C,29,5/9/1995,Trail,BC,CAN,CAN,72,180,-,-,-,-,-
503,Jacob MacDonald,S.J,D,31,2/26/1993,Portland,OR,USA,,72,204,-,-,-,-,-
500,Jacob Moverare,L.A,D,25,8/31/1998,Ostersund,,SWE,SWE,75,210,2016,L.A,4,21,112
592,Jacob Peterson,S.J,C,24,7/19/1999,Lidkoping,,SWE,SWE,73,180,2017,DAL,5,8,132
210,Jacob Trouba,NYR,D,30,2/26/1994,Rochester,MI,USA,USA,75,203,2012,WPG,1,9,9
128,Jaden Schwartz,SEA,C,31,6/25/1992,Wilcox,SK,CAN,CAN,70,185,2010,STL,1,14,14
493,Jake Bean,CBJ,D,26,6/9/1998,Calgary,AB,CAN,CAN,73,196,2016,CAR,1,13,13
681,Jake Christiansen,CBJ,D,24,9/12/1999,West Vancouver,BC,CAN,CAN,72,193,-,-,-,-,-
421,Jake DeBrusk,BOS,L,27,10/17/1996,Edmonton,AB,CAN,CAN,72,197,2015,BOS,1,14,14
367,Jake Evans,MTL,C,28,6/2/1996,Toronto,ON,CAN,CAN,72,186,2014,MTL,7,27,207
261,Jake Guentzel,"CAR, PIT","C, L",29,10/6/1994,Omaha,NE,USA,USA,71,180,2013,PIT,3,16,77
541,Jake Leschyshyn,NYR,C,25,3/10/1999,Raleigh,NC,USA,USA,71,195,2017,VGK,2,31,62
229,Jake McCabe,TOR,D,30,10/12/1993,Eau Claire,WI,USA,USA,73,204,2012,BUF,2,14,44
368,Jake Middleton,MIN,D,28,1/2/1996,Wainwright,AB,CAN,CAN,75,219,2014,L.A,7,30,210
774,Jake Neighbours,STL,L,22,3/29/2002,Calgary,AB,CAN,CAN,72,201,2020,STL,1,26,26
782,Jake Sanderson,OTT,D,21,7/8/2002,Whitefish,MT,USA,USA,75,195,2020,OTT,1,5,5
348,Jake Walman,DET,D,28,2/20/1996,Toronto,ON,CAN,CAN,74,215,2014,STL,3,22,82
470,Jakob Chychrun,OTT,D,26,3/31/1998,Boca Raton,FL,USA,USA,74,220,2016,ARI,1,16,16
728,Jakob Pelletier,CGY,L,23,3/7/2001,Québec,QC,CAN,CAN,69,170,2019,CGY,1,26,26
76,Jakob Silfverberg,ANA,R,33,10/13/1990,Gävle,,SWE,SWE,73,207,2009,OTT,2,9,39
651,Jakub Lauko,BOS,C,24,3/28/2000,Prague,,CZE,CZE,72,196,2018,BOS,3,15,77
324,Jakub Vrana,STL,L,28,2/28/1996,Prague,,CZE,CZE,72,190,2014,WSH,1,13,13
447,Jalen Chatfield,CAR,D,28,5/15/1996,Ypsilanti,MI,USA,USA,73,188,-,-,-,-,-
611,James Hamblin,EDM,L,25,4/27/1999,Edmonton,AB,CAN,CAN,69,176,-,-,-,-,-
852,James Malatesta,CBJ,L,21,5/31/2003,Montréal,QC,CAN,CAN,69,185,2021,CBJ,5,5,133
38,James van Riemsdyk,BOS,L,35,5/4/1989,Middletown,NJ,USA,USA,75,208,2007,PHI,1,2,2
33,Jamie Benn,DAL,L,34,7/18/1989,Victoria,BC,CAN,CAN,74,205,2007,DAL,5,8,129
796,Jamie Drysdale,"ANA, PHI",D,22,4/8/2002,Toronto,ON,CAN,CAN,71,183,2020,ANA,1,6,6
179,Jamie Oleksiak,SEA,D,31,12/21/1992,Toronto,ON,CAN,CAN,79,257,2011,DAL,1,14,14
654,Jan Jenik,ARI,R,23,9/15/2000,Nymburk,,CZE,CZE,73,185,2018,ARI,3,3,65
584,Jan Rutta,S.J,D,33,7/29/1990,Písek,,CZE,CZE,75,204,-,-,-,-,-
141,Jani Hakanpää,DAL,D,32,3/31/1992,Kirkkonummi,,FIN,FIN,78,225,2010,STL,4,14,104
391,Jansen Harkins,PIT,C,27,5/23/1997,Cleveland,OH,USA,USA,73,182,2015,WPG,2,17,47
333,Jared McCann,SEA,L,28,5/31/1996,Stratford,ON,CAN,CAN,73,191,2014,VAN,1,24,24
70,Jared Spurgeon,MIN,D,34,11/29/1989,Edmonton,AB,CAN,CAN,69,166,2008,NYI,6,5,156
543,Jaret Anderson-Dolan,"L.A, NSH",C,24,9/12/1999,Calgary,AB,CAN,CAN,71,200,2017,L.A,2,10,41
137,Jarred Tinordi,CHI,D,32,2/20/1992,Burnsville,MN,USA,USA,78,229,2010,MTL,1,22,22
273,Jason Dickinson,CHI,C,28,7/4/1995,Georgetown,ON,CAN,CAN,74,200,2013,DAL,1,29,29
915,Jason Polin,COL,R,24,6/17/1999,,,USA,,72,198,-,-,-,-,-
561,Jason Robertson,DAL,L,24,7/22/1999,Arcadia,CA,USA,USA,75,200,2017,DAL,2,8,39
113,Jason Zucker,"ARI, NSH",L,32,1/16/1992,Newport Beach,CA,USA,USA,71,192,2010,MIN,2,29,59
242,Jaycob Megna,CHI,D,31,12/10/1992,Plantation,FL,USA,USA,78,220,2012,ANA,7,29,210
729,Jayden Struble,MTL,D,22,9/8/2001,,,USA,,72,202,2019,MTL,2,15,46
245,Jayson Megna,BOS,C,34,2/1/1990,Fort Lauderdale,FL,USA,USA,73,195,-,-,-,-,-
161,Jean-Gabriel Pageau,NYI,C,31,11/11/1992,Ottawa,ON,CAN,CAN,71,185,2011,OTT,4,5,96
800,Jean-Luc Foudy,COL,C,22,5/13/2002,Scarborough,ON,CAN,CAN,71,177,2020,COL,3,13,75
2,Jeff Carter,PIT,C,39,1/1/1985,London,ON,CAN,CAN,75,219,2003,PHI,1,11,11
28,Jeff Petry,DET,D,36,12/9/1987,Ann Arbor,MI,USA,USA,75,209,2006,EDM,2,15,45
130,Jeff Skinner,BUF,L,32,5/16/1992,Toronto,ON,CAN,CAN,71,197,2010,CAR,1,7,7
413,Jeremy Lauzon,NSH,D,27,4/28/1997,Val D'or,QC,CAN,CAN,73,204,2015,BOS,2,22,52
549,Jesper Boqvist,BOS,C,25,10/30/1998,Falun,,SWE,SWE,72,180,2017,N.J,2,5,36
494,Jesper Bratt,N.J,L,25,7/30/1998,Stockholm,,SWE,SWE,70,175,2016,N.J,6,11,162
144,Jesper Fast,CAR,R,32,12/2/1991,Nassjo,,SWE,SWE,73,191,2010,NYR,6,7,157
630,Jesperi Kotkaniemi,CAR,C,23,7/6/2000,Pori,,FIN,FIN,74,201,2018,MTL,1,3,3
469,Jesse Puljujarvi,PIT,R,26,5/7/1998,Alvkarleby,,SWE,FIN,76,201,2016,EDM,1,4,4
672,Jesse Ylönen,MTL,R,24,10/3/1999,Scottsdale,AZ,USA,USA,73,188,2018,MTL,2,4,35
223,Jimmy Vesey,NYR,L,31,5/26/1993,Boston,MA,USA,USA,75,202,2012,NSH,3,5,66
882,Jiri Kulich,BUF,C,20,4/14/2004,Kadan,,CZE,CZE,71,172,2022,BUF,1,28,28
920,Jiri Smejkal,OTT,L,27,11/5/1996,,,CZE,,76,209,-,-,-,-,-
811,JJ Peterka,BUF,R,22,1/14/2002,Munich,,DEU,DEU,72,189,2020,BUF,2,3,34
6,Joe Pavelski,DAL,C,39,7/11/1984,Plover,WI,USA,USA,71,200,2003,S.J,7,8,205
689,Joe Snively,WSH,C,28,1/1/1996,Herndon,VA,USA,USA,69,176,-,-,-,-,-
626,Joe Veleno,DET,C,24,1/13/2000,Montreal,QC,CAN,CAN,73,203,2018,DET,1,30,30
181,Joel Armia,MTL,R,31,5/31/1993,Pori,,FIN,FIN,75,216,2011,BUF,1,16,16
166,Joel Edmundson,"TOR, WSH",D,30,6/28/1993,Brandon,MB,CAN,CAN,77,221,2011,STL,2,16,46
419,Joel Eriksson Ek,MIN,C,27,1/29/1997,Karlstad,,SWE,SWE,75,207,2015,MIN,1,20,20
618,Joel Farabee,PHI,L,24,2/25/2000,Syracuse,NY,USA,USA,72,183,2018,PHI,1,14,14
306,Joel Hanley,"CGY, DAL",D,33,6/8/1991,Keswick,ON,CAN,CAN,71,190,-,-,-,-,-
742,Joel Kiviranta,COL,L,28,3/23/1996,Vantaa,,FIN,FIN,71,185,-,-,-,-,-
455,Joey Anderson,CHI,R,25,6/19/1998,Roseville,MN,USA,USA,72,207,2016,N.J,3,12,73
714,John Beecher,BOS,C,23,4/5/2001,Elmira,NY,USA,USA,75,215,2019,BOS,1,30,30
60,John Carlson,WSH,D,34,1/10/1990,Natick,MA,USA,USA,75,215,2008,WSH,1,27,27
259,John Hayden,SEA,C,29,2/14/1995,Chicago,IL,USA,USA,75,223,2013,CHI,3,13,74
145,John Klingberg,TOR,D,31,8/14/1992,Gothenburg,,SWE,SWE,75,190,2010,DAL,5,11,131
677,John Leonard,ARI,L,25,8/7/1998,Westwood,NJ,USA,USA,71,196,2018,S.J,6,27,182
685,John Ludvig,PIT,D,23,8/2/2000,Liberec,,CZE,CZE,73,213,2019,FLA,3,7,69
424,John Marino,N.J,D,27,5/21/1997,Brockton,MA,USA,USA,73,181,2015,EDM,6,3,154
77,John Tavares,TOR,C,33,9/20/1990,Mississauga,ON,CAN,CAN,73,216,2009,NYI,1,1,1
588,Johnathan Kovacevic,MTL,D,26,7/12/1997,Niagara Falls,ON,CAN,CAN,76,208,2017,WPG,3,12,74
154,Johnny Gaudreau,CBJ,L,30,8/13/1993,Salem,NJ,USA,USA,69,165,2011,CGY,4,13,104
117,Jon Merrill,MIN,D,32,2/3/1992,Oklahoma City,OK,USA,USA,75,204,2010,N.J,2,8,38
534,Jonah Gadjovich,FLA,L,25,10/12/1998,Whitby,ON,CAN,CAN,74,209,2017,VAN,2,24,55
178,Jonas Brodin,MIN,D,30,7/12/1993,Karlstad,,SWE,SWE,74,196,2011,MIN,1,10,10
550,Jonas Rondbjerg,VGK,R,25,3/31/1999,Horsholm,,DNK,DNK,74,203,2017,VGK,3,3,65
378,Jonas Siegenthaler,N.J,D,27,5/6/1997,Zurich,,CHE,CHE,74,218,2015,WSH,2,27,57
662,Jonatan Berggren,DET,R,23,7/16/2000,Uppsala,,SWE,SWE,71,197,2018,DET,2,2,33
288,Jonathan Drouin,COL,L,29,3/28/1995,Ste-Agathe,QC,CAN,CAN,71,198,2013,T.B,1,3,3
634,Jonathan Gruden,PIT,C,24,5/4/2000,Rochester Hills,MI,USA,USA,72,172,2018,OTT,4,2,95
171,Jonathan Huberdeau,CGY,C,31,6/4/1993,Saint-Jerome,QC,CAN,CAN,73,200,2011,FLA,1,3,3
188,Jonathan Marchessault,VGK,R,33,12/27/1990,Cap-Rouge,QC,CAN,CAN,69,183,-,-,-,-,-
256,Jonny Brodzinski,NYR,C,30,6/19/1993,Ham Lake,MN,USA,USA,72,212,2013,L.A,5,27,148
510,Joona Koppanen,PIT,L,26,2/25/1998,Tampere,,FIN,FIN,77,216,2016,BOS,5,14,135
59,Jordan Eberle,SEA,R,34,5/15/1990,Regina,SK,CAN,CAN,71,190,2008,EDM,1,22,22
386,Jordan Greenway,BUF,L,27,2/16/1997,Canton,NY,USA,USA,78,231,2015,MIN,2,20,50
653,Jordan Harris,MTL,D,23,7/7/2000,Haverhill,MA,USA,USA,71,189,2018,MTL,3,9,71
488,Jordan Kyrou,STL,C,26,5/5/1998,Toronto,ON,CAN,CAN,73,196,2016,STL,2,5,35
225,Jordan Martinook,CAR,L,31,7/25/1992,Brandon,MB,CAN,CAN,72,196,2012,PHX,2,28,58
310,Jordan Oesterle,CGY,D,31,6/25/1992,Dearborn Heights,MI,USA,USA,72,187,-,-,-,-,-
737,Jordan Spence,L.A,D,23,2/24/2001,Manly,,AUS,AUS,70,180,2019,L.A,4,2,95
30,Jordan Staal,CAR,C,35,9/10/1988,Thunder Bay,ON,CAN,CAN,76,220,2006,PIT,1,2,2
236,Josh Anderson,MTL,R,30,5/7/1994,Burlington,ON,CAN,CAN,75,218,2012,CBJ,4,4,95
257,Josh Brown,ARI,D,30,1/21/1994,London,ON,CAN,CAN,77,220,2013,FLA,6,1,152
834,Josh Doan,ARI,R,22,2/1/2002,,,USA,,73,183,2021,ARI,2,5,37
483,Josh Mahura,FLA,D,26,5/5/1998,St. Albert,AB,CAN,CAN,72,185,2016,ANA,3,24,85
150,Josh Manson,COL,D,32,10/7/1991,Hinsdale,IL,USA,CAN,75,218,2011,ANA,6,9,160
297,Josh Morrissey,WPG,D,29,3/28/1995,Calgary,AB,CAN,CAN,72,185,2013,WPG,1,13,13
571,Josh Norris,OTT,C,25,5/5/1999,Oxford,MI,USA,USA,74,195,2017,S.J,1,19,19
855,Joshua Roy,MTL,R,20,8/6/2003,Saint-Georges-De-Beauce,QC,CAN,CAN,72,193,2021,MTL,5,22,150
221,Jujhar Khaira,MIN,L,29,8/13/1994,Surrey,BC,CAN,CAN,76,212,2012,EDM,3,2,63
463,Julien Gauthier,NYI,R,26,10/15/1997,Pointe-aux-Trembles,QC,CAN,CAN,76,224,2016,CAR,1,21,21
893,Juraj Slafkovsky,MTL,L,20,3/30/2004,Kosice,,SVK,SVK,75,238,2022,MTL,1,1,1
280,Justin Bailey,S.J,R,28,7/1/1995,Buffalo,NY,USA,USA,76,214,2013,BUF,2,22,52
785,Justin Barron,MTL,D,22,11/15/2001,Halifax,NS,CAN,CAN,74,201,2020,COL,1,25,25
520,Justin Brazeau,BOS,R,26,2/2/1998,New Liskeard,ON,CAN,,77,220,-,-,-,-,-
527,Justin Danforth,CBJ,R,31,3/15/1993,Oshawa,ON,CAN,CAN,69,190,-,-,-,-,-
106,Justin Dowling,N.J,C,33,10/1/1990,Calgary,AB,CAN,CAN,70,180,-,-,-,-,-
119,Justin Faulk,STL,D,32,3/20/1992,South St.Paul,MN,USA,USA,72,214,2010,CAR,2,7,37
112,Justin Holl,DET,D,32,1/30/1992,Tonka Bay,MN,USA,USA,75,197,2010,CHI,2,24,54
344,Justin Kirkland,ARI,C,27,8/2/1996,Winnipeg,MB,CAN,CAN,75,183,2014,NSH,3,2,62
62,Justin Schultz,SEA,D,33,7/6/1990,Kelowna,BC,CAN,CAN,74,190,2008,ANA,2,13,43
773,Justin Sourdif,FLA,R,22,3/24/2002,,,CAN,,71,180,2020,FLA,3,25,87
750,Juuso Parssinen,NSH,C,23,2/1/2001,Hameenlinna,,FIN,FIN,75,212,2019,NSH,7,24,210
531,Juuso Valimaki,ARI,D,25,10/6/1998,Tampere,,FIN,FIN,74,205,2017,CGY,1,16,16
713,Kaapo Kakko,NYR,R,23,2/13/2001,Turku,,FIN,FIN,74,206,2019,NYR,1,2,2
699,Kaedan Korczak,VGK,D,23,1/29/2001,Yorkton,SK,CAN,CAN,75,202,2019,VGK,2,10,41
772,Kaiden Guhle,MTL,D,22,1/18/2002,Edmonton,AB,CAN,CAN,74,205,2020,MTL,1,16,16
532,Kailer Yamamoto,SEA,R,25,9/29/1998,Spokane,WA,USA,USA,68,153,2017,EDM,1,22,22
472,Kale Clague,BUF,D,26,6/5/1998,Regina,SK,CAN,CAN,72,190,2016,L.A,2,21,51
627,K'Andre Miller,NYR,D,24,1/21/2000,St. Paul,MN,USA,USA,77,215,2018,NYR,1,22,22
332,Kasperi Kapanen,STL,R,27,7/23/1996,Kuopio,,FIN,FIN,73,194,2014,PIT,1,22,22
395,Keegan Kolesar,VGK,R,27,4/8/1997,Brandon,MB,CAN,CAN,74,217,2015,CBJ,3,8,69
835,Kent Johnson,CBJ,C,21,10/18/2002,Port Moody,BC,CAN,CAN,72,175,2021,CBJ,1,5,5
643,Kevin Bahl,N.J,D,23,6/27/2000,New Westminster,BC,CAN,CAN,78,230,-,-,-,-,-
323,Kevin Fiala,L.A,L,27,7/22/1996,St. Gallen,,CHE,CHE,70,204,2014,NSH,1,11,11
124,Kevin Hayes,STL,R,32,5/8/1992,Dorchester,MA,USA,USA,77,216,2010,CHI,1,24,24
881,Kevin Korchinski,CHI,D,19,6/21/2004,Saskatoon,SK,CAN,CAN,73,185,2022,CHI,1,7,7
363,Kevin Labanc,S.J,R,28,12/12/1995,Brooklyn,NY,USA,USA,71,185,2014,S.J,6,21,171
452,Kevin Rooney,CGY,C,31,5/21/1993,Canton,MA,USA,USA,74,190,-,-,-,-,-
36,Kevin Shattenkirk,BOS,D,35,1/29/1989,New Rochelle,NY,USA,USA,72,212,2007,COL,1,14,14
432,Kevin Stenlund,FLA,C,27,9/20/1996,Huddinge,,SWE,SWE,77,215,2015,CBJ,2,28,58
613,Kiefer Sherwood,NSH,L,29,3/31/1995,Columbus,OH,USA,USA,72,194,-,-,-,-,-
697,Kirby Dach,MTL,C,23,1/21/2001,Fort Saskatchewan,AB,CAN,CAN,76,212,2019,CHI,1,3,3
