"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"743","Chase Priskie","FLA","D","28","1996-03-19","Pembroke Pines","FL","USA","USA","72","185","2016","WSH","6","26","177"
"150","Chris Kreider","NYR","L","33","1991-04-30","Boxford","MA","USA","USA","75","230","2009","NYR","1","19","19"
"334","Chris Tierney","FLA, MTL, N.J, OTT","C","29","1994-07-01","Keswick","ON","CAN","CAN","73","191","2012","S.J","2","25","55"
"203","Chris Wagner","BOS, COL","R","33","1991-05-27","Walpole","MA","USA","USA","72","192","2010","ANA","5","2","122"
"162","Chris Wideman","MTL","D","34","1990-01-07","St. Louis","MO","USA","USA","70","181","2009","OTT","4","9","100"
"488","Christian Dvorak","MTL","C, L","28","1996-02-02","Palos","IL","USA","USA","73","193","2014","ARI","2","28","58"
"557","Christian Fischer","ARI, DET","R","27","1997-04-15","Chicago","IL","USA","USA","74","212","2015","ARI","2","2","32"
"620","Christian Jaros","N.J","D","28","1996-04-02","Kosice","","SVK","SVK","75","222","2015","OTT","5","18","139"
"613","Christian Wolanin","BUF, L.A, VAN","D","29","1995-03-17","Quebec City","QC","CAN","CAN","74","190","2015","OTT","4","16","107"
"179","Christopher Tanev","CGY, DAL","D","34","1989-12-20","Toronto","ON","CAN","CAN","74","193","-","-","-","-","-"
"510","CJ Suess","S.J, WPG","L","30","1994-03-17","St. Paul","MN","USA","USA","71","190","2014","WPG","5","9","129"
"508","Clark Bishop","OTT","C","28","1996-03-29","St. John's","NL","CAN","CAN","73","197","2014","CAR","5","7","127"
"57","Claude Giroux","FLA, OTT, PHI","C, R","36","1988-01-12","Hearst","ON","CAN","CAN","71","190","2006","PHI","1","22","22"
"665","Clayton Keller","ARI","C, R","25","1998-07-29","Chesterfield","MO","USA","USA","70","178","2016","ARI","1","7","7"
"314","Cody Ceci","EDM","D","30","1993-12-21","Ottawa","ON","CAN","CAN","74","210","2012","OTT","1","15","15"
"166","Cody Eakin","BUF","C","33","1991-05-24","Winnipeg","MB","CAN","CAN","72","196","2009","WSH","3","24","85"
"776","Cody Glass","NSH","C","25","1999-04-01","Winnipeg","MB","CAN","CAN","75","206","2017","VGK","1","6","6"
"533","Cole Bardreau","NYI","C","30","1993-07-22","Fairport","NY","USA","USA","72","186","-","-","-","-","-"
"995","Cole Caufield","MTL","R","23","2001-01-02","Mosinee","WI","USA","USA","67","174","2019","MTL","1","15","15"
"847","Cole Guttman","CHI","C","25","1999-04-06","Northridge","CA","USA","USA","69","167","2017","T.B","6","25","180"
"951","Cole Koepke","T.B","L","26","1998-05-17","Two Harbors","MN","USA","USA","73","196","2018","T.B","6","28","183"
"1249","Cole McWard","VAN","D","23","2001-06-09","Fenton","MO","USA","USA","73","192","-","-","-","-","-"
"1109","Cole Perfetti","WPG","C","22","2002-01-01","Whitby","ON","CAN","CAN","71","184","2020","WPG","1","10","10"
"964","Cole Reinhardt","OTT","L","24","2000-02-01","Calgary","AB","CAN","CAN","72","200","2020","OTT","6","26","181"
"1039","Cole Schwindt","CGY, FLA","C, R","23","2001-04-25","Kitchener","ON","CAN","CAN","74","182","2019","FLA","3","19","81"
"1165","Cole Sillinger","CBJ","C","21","2003-05-16","Columbus","OH","USA","USA","73","201","2021","CBJ","1","12","12"
"1069","Cole Smith","NSH","L","28","1995-10-28","Brainerd","MN","USA","USA","75","195","-","-","-","-","-"
"228","Colin Blackwell","CHI, SEA, TOR","C","31","1993-03-28","Lawrence","MA","USA","USA","69","190","2011","S.J","7","13","193"
"290","Colin Miller","BUF, DAL, N.J, WPG","D","31","1992-10-29","Sault Ste. Marie","ON","CAN","CAN","73","200","2012","L.A","5","30","151"
"539","Colin White","FLA, MTL, OTT, PIT","C","27","1997-01-30","Boston","MA","USA","USA","73","194","2015","OTT","1","21","21"
"1255","Collin Graf","S.J","R","21","2002-09-21","","","USA","","73","194","-","-","-","-","-"
"324","Colton Parayko","STL","D","31","1993-05-12","St. Albert","AB","CAN","CAN","78","228","2012","STL","3","25","86"
"81","Colton Sceviour","EDM","C","35","1989-04-20","Red Deer","AB","CAN","CAN","72","190","2007","DAL","4","21","112"
"338","Colton Sissons","NSH","C","30","1993-11-05","North Vancouver","BC","CAN","CAN","73","200","2012","NSH","2","20","50"
"611","Colton White","ANA, N.J","D","27","1997-05-03","London","ON","CAN","CAN","73","187","2015","N.J","4","6","97"
"1238","Connor Bedard","CHI","C","18","2005-07-17","","","CAN","","70","185","2023","CHI","1","1","1"
"358","Connor Brown","EDM, OTT, WSH","R","30","1994-01-14","Toronto","ON","CAN","CAN","72","181","2012","TOR","6","5","156"
"691","Connor Bunnaman","PHI","C","26","1998-04-16","Guelph","ON","CAN","CAN","73","207","2016","PHI","4","18","109"
"342","Connor Carrick","BOS","D","30","1994-04-13","Orland Park","IL","USA","USA","70","198","2012","WSH","5","16","137"
"383","Connor Clifton","BOS, BUF","D","29","1995-04-28","Long Branch","NJ","USA","USA","71","190","2013","PHX","5","12","133"
"935","Connor Dewar","MIN, TOR","C","24","1999-06-26","Gilbert Plains","MB","CAN","CAN","70","183","2018","MIN","3","30","92"
"1070","Connor Mackey","ARI, CGY, NYR","D","27","1996-09-12","Tower Lakes","IL","USA","USA","74","197","-","-","-","-","-"
"541","Connor McDavid","EDM","C","27","1997-01-13","Richmond Hill","ON","CAN","CAN","73","193","2015","EDM","1","1","1"
"1017","Connor McMichael","WSH","C","23","2001-01-15","Ajax","ON","CAN","CAN","72","180","2019","WSH","1","25","25"
"283","Connor Murphy","CHI","D","31","1993-03-26","Dublin","OH","USA","USA","76","212","2011","PHX","1","20","20"
"1074","Connor Zary","CGY","C","22","2001-09-25","Saskatoon","SK","CAN","CAN","72","178","2020","CGY","1","24","24"
"616","Conor Garland","VAN","R","28","1996-03-11","Scituate","MA","USA","USA","70","165","2015","ARI","5","2","123"
"447","Conor Sheary","T.B, WSH","L","32","1992-06-08","Winchester","MA","USA","USA","69","179","-","-","-","-","-"
"767","Conor Timmins","ARI, TOR","D","25","1998-09-18","St. Catharines","ON","CAN","CAN","74","202","2017","COL","2","1","32"
"562","Cooper Marody","EDM","C","27","1996-12-20","Brighton","MI","USA","USA","72","184","2015","PHI","6","7","158"
"13","Corey Perry","CHI, EDM, T.B","R","39","1985-05-16","Peterborough","ON","CAN","CAN","75","208","2003","ANA","1","28","28"
"976","Corey Schueneman","MTL","D","28","1995-09-02","Milford","MI","USA","USA","71","197","-","-","-","-","-"
"161","Craig Smith","BOS, DAL, WSH","C","34","1989-09-05","Madison","WI","USA","USA","72","204","2009","NSH","4","7","98"
"438","Curtis Lazar","BOS, N.J, VAN","C","29","1995-02-02","Salmon Arm","BC","CAN","CAN","72","203","2013","OTT","1","17","17"
"1204","Cutter Gauthier","ANA","L","20","2004-01-19","","","SWE","","74","189","2022","PHI","1","5","5"
"1084","Daemon Hunt","MIN","D","22","2002-05-15","","","CAN","","73","201","2020","MIN","3","3","65"
"509","Dakota Joshua","STL, VAN","C","28","1996-05-15","Dearborn","MI","USA","USA","75","206","2014","TOR","5","8","128"
"443","Dakota Mermis","MIN","D","30","1994-01-05","Alton","IL","USA","USA","72","195","-","-","-","-","-"
"938","Damien Giroux","MIN","C","24","2000-03-03","Sudbury","ON","CAN","CAN","70","179","2018","MIN","5","31","155"
"336","Damon Severson","CBJ, N.J","D","29","1994-08-07","Melville","SK","CAN","CAN","74","205","2012","N.J","2","30","60"
"640","Dan Renouf","BOS, DET","D","30","1994-06-01","Pickering","ON","CAN","CAN","73","198","-","-","-","-","-"
"579","Daniel Sprong","DET, SEA, WSH","R","27","1997-03-17","Amsterdam","","NLD","NLD","72","202","2015","PIT","2","16","46"
"1147","Daniil Miromanov","CGY, VGK","D","26","1997-07-11","Moscow","","RUS","RUS","76","200","-","-","-","-","-"
"1087","Danil Gushchin","S.J","L","22","2002-02-06","Yekaterinburg","","RUS","RUS","68","165","2020","S.J","3","14","76"
"368","Danny DeKeyser","DET","D","34","1990-03-07","Detroit","MI","USA","USA","75","183","-","-","-","-","-"
"352","Danny O'Regan","ANA","C","30","1994-01-30","Berlin","","DEU","USA","70","180","2012","S.J","5","17","138"
"684","Dante Fabbro","NSH","D","25","1998-06-20","Coquitlam","BC","CAN","CAN","72","189","2016","NSH","1","17","17"
"504","Danton Heinen","BOS, PIT","L","28","1995-07-05","Langley","BC","CAN","CAN","73","188","2014","BOS","4","26","116"
"429","Darnell Nurse","EDM","D","29","1995-02-04","Hamilton","ON","CAN","CAN","76","221","2013","EDM","1","7","7"
"42","Darren Helm","COL","C","37","1987-01-21","St. Andrews","MB","CAN","CAN","72","192","2005","DET","5","7","132"
"527","Darren Raddysh","T.B","D","28","1996-02-28","Toronto","ON","CAN","CAN","73","200","-","-","-","-","-"
"859","David Gust","CHI","R","30","1994-02-21","Orland Park","IL","USA","USA","70","177","-","-","-","-","-"
"946","David Gustafsson","WPG","C","24","2000-04-11","Tingsryd","","SWE","SWE","74","212","2018","WPG","2","29","60"
"1206","David Jiricek","CBJ","D","20","2003-11-28","Klatovy","","CZE","CZE","76","199","2022","CBJ","1","6","6"
"827","David Kampf","TOR","C","29","1995-01-12","Chomutov","","CZE","CZE","74","197","-","-","-","-","-"
"27","David Krejci","BOS","C","38","1986-04-28","Sternberk","","CZE","CZE","72","192","2004","BOS","2","33","63"
"477","David Pastrnak","BOS","R","28","1996-05-25","Havirov","","CZE","CZE","73","195","2014","BOS","1","25","25"
"82","David Perron","DET, STL","L","36","1988-05-28","Sherbrooke","QC","CAN","CAN","73","196","2007","STL","1","26","26"
"164","David Savard","MTL","D","33","1990-10-22","St. Hyacinthe","QC","CAN","CAN","73","235","2009","CBJ","4","3","94"
"1091","Dawson Mercer","N.J","C","22","2001-10-27","Carbonear","NL","CAN","CAN","72","180","2020","N.J","1","18","18"
"605","Dean Kukan","CBJ","D","30","1993-07-08","Volketswil","","CHE","CHE","74","190","-","-","-","-","-"
"1198","Declan Carlile","T.B","D","-","-","-","-","-","-","-","-","-","-","-","-","-"
"937","Declan Chisholm","MIN, WPG","D","24","2000-01-12","Bowmanville","ON","CAN","CAN","73","185","2018","WPG","5","26","150"
"593","Denis Gurianov","DAL, MTL, NSH, PHI","R","27","1997-06-07","Togliatti","","RUS","RUS","75","205","2015","DAL","1","12","12"
"612","Denis Malgin","COL, TOR","C","27","1997-01-18","Olten","","CHE","CHE","69","182","2015","FLA","4","11","102"
"697","Dennis Cholowski","NYI, SEA, WSH","D","26","1998-02-15","Langley","BC","CAN","CAN","74","210","2016","DET","1","20","20"
"596","Dennis Gilbert","CGY","D","27","1996-10-30","Buffalo","NY","USA","USA","74","216","2015","CHI","3","30","91"
"196","Derek Forbort","BOS","D","32","1992-03-04","Duluth","MN","USA","USA","76","208","2010","L.A","1","15","15"
"120","Derek Grant","ANA","C","34","1990-04-20","Abbotsford","BC","CAN","CAN","75","210","2008","OTT","4","28","119"
"607","Derek Ryan","EDM","C","37","1986-12-29","Spokane","WA","USA","USA","70","185","-","-","-","-","-"
"114","Derek Stepan","CAR","C","33","1990-06-18","Hastings","MN","USA","USA","71","196","2008","NYR","2","21","51"
"59","Derick Brassard","EDM, OTT, PHI","C","36","1987-09-22","Hull","QC","CAN","CAN","73","200","2006","CBJ","1","6","6"
"318","Derrick Pouliot","DAL, S.J, SEA, VGK","D","30","1994-01-16","Estevan","SK","CAN","CAN","72","196","2012","PIT","1","8","8"
"330","Devin Shore","EDM, SEA","C","29","1994-07-19","Ajax","ON","CAN","CAN","73","206","2012","DAL","2","31","61"
"500","Devon Toews","COL","D","30","1994-02-21","Abbotsford","BC","CAN","CAN","73","191","2014","NYI","4","18","108"
"668","Dillon Dube","CGY","C","25","1998-07-20","Golden","AB","CAN","CAN","71","185","2016","CGY","2","26","56"
"414","Dillon Heatherington","OTT","D","29","1995-05-09","Calgary","AB","CAN","CAN","76","215","2013","CBJ","2","20","50"
"805","Dmitri Samorukov","EDM, STL","D","24","1999-06-16","Volgograd","","RUS","RUS","75","188","2017","EDM","3","22","84"
"1052","Dmitri Voronkov","CBJ","L","23","2000-09-10","","","RUS","","77","240","2019","CBJ","4","21","114"
"259","Dmitrij Jaskin","ARI","R","31","1993-03-23","Omsk","","RUS","CZE","74","216","2011","STL","2","11","41"
"148","Dmitry Kulikov","ANA, FLA, MIN, PIT","D","33","1990-10-29","Lipetsk","","RUS","RUS","73","201","2009","FLA","1","14","14"
"156","Dmitry Orlov","BOS, CAR, WSH","D","32","1991-07-23","Novokuznetsk","","RUS","RUS","71","214","2009","WSH","2","25","55"
"344","Dominic Toninato","WPG","C","30","1994-03-09","Duluth","MN","USA","USA","74","191","2012","TOR","5","5","126"
"374","Dominik Kubalik","CHI, DET, OTT","L","28","1995-08-21","Plzen","","CZE","CZE","74","190","2013","L.A","7","10","191"
"619","Dominik Simon","ANA, PIT","C","29","1994-08-08","Prague","","CZE","CZE","71","190","2015","PIT","5","16","137"
"276","Dougie Hamilton","N.J","D","30","1993-06-17","Toronto","ON","CAN","CAN","78","230","2011","BOS","1","9","9"
"838","Drake Batherson","OTT","R","26","1998-04-27","Fort Wayne","IN","USA","USA","75","200","2017","OTT","4","28","121"
"716","Drake Caggiula","BUF, PIT","C","29","1994-06-20","Pickering","ON","CAN","CAN","70","176","-","-","-","-","-"
"98","Drew Doughty","L.A","D","34","1989-12-08","London","ON","CAN","CAN","73","210","2008","L.A","1","2","2"
"1009","Drew Helleson","ANA","D","23","2001-03-26","Farmington","MN","USA","USA","75","190","2019","COL","2","16","47"
"1067","Drew O'Connor","PIT","L","26","1998-06-09","Chatham","NJ","USA","USA","75","200","-","-","-","-","-"
"528","Dryden Hunt","CGY, COL, NYR, TOR","L","28","1995-11-24","Cranbrook","BC","CAN","CAN","72","193","-","-","-","-","-"
"4","Duncan Keith","EDM","D","40","1983-07-16","Winnipeg","MB","CAN","CAN","73","192","2002","CHI","2","24","54"
"8","Dustin Brown","L.A","L, R","39","1984-11-04","Ithaca","NY","USA","USA","72","205","2003","L.A","1","13","13"
"747","Dylan Coghlan","CAR, VGK","D","26","1998-02-19","Duncan","BC","CAN","CAN","74","208","-","-","-","-","-"
"988","Dylan Cozens","BUF","C","23","2001-02-09","Whitehorse","YT","CAN","CAN","75","195","2019","BUF","1","7","7"
"237","Dylan DeMelo","WPG","D","31","1993-05-01","London","ON","CAN","CAN","72","195","2011","S.J","6","28","179"
"740","Dylan Gambrell","OTT","C","27","1996-08-26","Bonney Lake","WA","USA","USA","71","185","2016","S.J","2","30","60"
"1163","Dylan Guenther","ARI","R","21","2003-04-10","Edmonton","AB","CAN","CAN","74","175","2021","ARI","1","9","9"
"1075","Dylan Holloway","EDM","L","22","2001-09-23","Calgary","AB","CAN","CAN","73","203","2020","EDM","1","14","14"
"468","Dylan Larkin","DET","C","27","1996-07-30","Waterford","MI","USA","USA","73","198","2014","DET","1","15","15"
"211","Dylan McIlrath","WSH","D","32","1992-04-20","Winnipeg","MB","CAN","CAN","77","232","2010","NYR","1","10","10"
"807","Dylan Samberg","WPG","D","25","1999-01-24","Saginaw","MN","USA","USA","76","219","2017","WPG","2","12","43"
"518","Dylan Sikura","COL","C","29","1995-06-01","Aurora","ON","CAN","CAN","71","170","2014","CHI","6","28","178"
"561","Dylan Strome","CHI, WSH","C","27","1997-03-07","Mississauga","ON","CAN","CAN","75","200","2015","ARI","1","3","3"
"511","Dysin Mayo","ARI","D","27","1996-08-17","Victoria","BC","CAN","CAN","74","183","2014","ARI","5","13","133"
"785","Eeli Tolvanen","NSH, SEA","R","25","1999-04-22","Vihti","","FIN","FIN","70","191","2017","NSH","1","30","30"
"833","Eetu Luostarinen","FLA","C","25","1998-09-02","Siilinjarvi","","FIN","FIN","75","190","2017","CAR","2","11","42"
"1020","Egor Afanasyev","NSH","L","23","2001-01-23","Tver","","RUS","RUS","76","211","2019","NSH","2","14","45"
"962","Egor Sokolov","OTT","L","24","2000-06-07","Yekaterinburg","","RUS","RUS","75","222","-","-","-","-","-"
"968","Egor Zamula","PHI","D","24","2000-03-30","Chelyabinsk","","RUS","RUS","75","177","-","-","-","-","-"
"427","Elias Lindholm","CGY, VAN","C","29","1994-12-02","Boden","","SWE","SWE","73","202","2013","CAR","1","5","5"
"787","Elias Pettersson","VAN","C","25","1998-11-12","Sundsvall","","SWE","SWE","74","176","2017","VAN","1","5","5"
"1138","Elliot Desnoyers","PHI","L","22","2002-01-21","Saint-Hyacinthe","QC","CAN","CAN","71","183","2020","PHI","5","11","135"
"1055","Elmer Soderblom","DET","L","22","2001-07-05","Gothenburg","","SWE","SWE","80","246","2019","DET","6","4","159"
"1100","Emil Andrae","PHI","D","-","-","-","-","-","-","-","-","-","-","-","-","-"
"837","Emil Bemstrom","CBJ, PIT","C, R","25","1999-06-01","Nykoping","","SWE","SWE","72","195","2017","CBJ","4","24","117"
"1142","Emil Heineman","MTL","L","22","2001-11-16","Leksand","","SWE","SWE","72","194","2020","FLA","2","12","43"
"1192","Emil Lilleberg","T.B","D","23","2001-02-02","","","NOR","","74","192","2021","ARI","4","11","107"
"874","Eric Robinson","BUF, CBJ","L","29","1995-06-14","BELLMAWR","NJ","USA","USA","74","205","-","-","-","-","-"
"5","Eric Staal","FLA","C","39","1984-10-29","Thunder Bay","ON","CAN","CAN","76","195","2003","CAR","1","2","2"
"819","Erik Brannstrom","OTT","D","24","1999-09-02","Eksjo","","SWE","SWE","70","185","2017","VGK","1","15","15"
"549","Erik Cernak","T.B","D","27","1997-05-28","Kosice","","SVK","SVK","76","224","2015","L.A","2","13","43"
"206","Erik Gudbranson","CBJ, CGY","D","32","1992-01-07","Ottawa","ON","CAN","CAN","77","222","2010","FLA","1","3","3"
"350","Erik Gustafsson","CHI, NYR, TOR, WSH","D","32","1992-03-14","Nynashamn","","SWE","SWE","72","197","2012","EDM","4","2","93"
"170","Erik Haula","BOS, N.J","L","33","1991-03-23","Pori","","FIN","FIN","71","191","2009","MIN","7","1","182"
"50","Erik Johnson","BUF, COL, PHI","D","36","1988-03-21","Bloomington","MN","USA","USA","76","225","2006","STL","1","1","1"
"105","Erik Karlsson","PIT, S.J","D","34","1990-05-31","Landsbro","","SWE","SWE","72","190","2008","OTT","1","15","15"
"326","Esa Lindell","DAL","D","30","1994-05-23","Vantaa","","FIN","FIN","75","220","2012","DAL","3","13","74"
"570","Ethan Bear","CAR, VAN, WSH","D","26","1997-06-26","Regina","SK","CAN","CAN","71","197","2015","EDM","5","3","124"
"1184","Ethan Del Mastro","CHI","D","21","2003-01-15","Burlington","ON","CAN","CAN","76","210","2021","CHI","4","9","105"
"641","Ethan Prow","BUF","D","31","1992-11-17","Sauk Rapids","MN","USA","USA","71","182","-","-","-","-","-"
"883","Evan Bouchard","EDM","D","24","1999-10-20","Oakville","ON","CAN","CAN","75","194","2018","EDM","1","10","10"
"603","Evan Rodrigues","COL, FLA, PIT","C","30","1993-07-28","Toronto","ON","CAN","CAN","71","184","-","-","-","-","-"
"141","Evander Kane","EDM","L","32","1991-08-02","Vancouver","BC","CAN","CAN","74","210","2009","ATL","1","4","4"
"21","Evgeni Malkin","PIT","C","37","1986-07-31","Magnitogorsk","","RUS","RUS","75","195","2004","PIT","1","2","2"
"85","Evgenii Dadonov","DAL, MTL, VGK","R","35","1989-03-12","Chelyabinsk","","RUS","RUS","71","189","2007","FLA","3","10","71"
"187","Evgeny Kuznetsov","CAR, WSH","C","32","1992-05-19","Chelyabinsk","","RUS","RUS","74","207","2010","WSH","1","26","26"
"556","Evgeny Svechnikov","S.J, WPG","L","27","1996-10-31","Yuzhno-Sakhalinsk","","RUS","RUS","75","208","2015","DET","1","19","19"
"834","Fabian Zetterlund","N.J, S.J","L","24","1999-08-25","Karlstad","","SWE","SWE","71","220","2017","N.J","3","1","63"
"822","Filip Chytil","NYR","C","24","1999-09-05","Kromeriz","","CZE","CZE","74","204","2017","NYR","1","21","21"
"321","Filip Forsberg","NSH","L","29","1994-08-13","Ostervala","","SWE","SWE","73","205","2012","WSH","1","11","11"
"901","Filip Hallander","PIT","C","23","2000-06-29","Sundsvall","","SWE","SWE","73","190","2018","PIT","2","27","58"
"711","Filip Hronek","DET, VAN","D","26","1997-11-02","Hradec Králové","","CZE","CZE","72","190","2016","DET","2","23","53"
"889","Filip Kral","TOR","D","24","1999-10-20","Blansko","","CZE","CZE","74","198","2018","TOR","5","25","149"
"1230","Filip Roos","CHI","D","25","1999-01-05","Gothenburg","","SWE","SWE","76","190","-","-","-","-","-"
"890","Filip Zadina","DET, S.J","R","24","1999-11-27","Pardubice","","CZE","CZE","72","190","2018","DET","1","6","6"
"1215","Frank Nazar","CHI","C","20","2004-01-14","","","USA","","69","175","2022","CHI","1","13","13"
"532","Frank Vatrano","ANA, FLA, NYR","C, R","30","1994-03-14","East Longmeadow","MA","USA","USA","71","197","-","-","-","-","-"
"1212","Fraser Minten","TOR","C","-","-","-","-","-","-","-","-","-","-","-","-","-"
"656","Frederic Allard","MTL","D","26","1997-12-27","St. Sauveur","QC","CAN","CAN","73","179","2016","NSH","3","17","78"
"453","Frederick Gaudreau","MIN","C","31","1993-05-01","Bromont","QC","CAN","CAN","72","184","-","-","-","-","-"
"440","Frederik Gauthier","N.J","C","29","1995-04-26","Laval","QC","CAN","CAN","77","239","2013","TOR","1","21","21"
"240","Fredrik Claesson","T.B","D","31","1992-11-24","Stockholm","","SWE","SWE","73","196","2011","OTT","5","5","126"
"722","Fredrik Karlstrom","DAL","C","26","1998-01-12","Stockholm","","SWE","SWE","75","200","2016","DAL","3","29","90"
"498","Fredrik Olofsson","COL, DAL","L","28","1996-05-27","Helsingborg","","SWE","SWE","74","190","2014","CHI","4","8","98"
"597","Gabriel Carlsson","CBJ, WSH","D","27","1997-01-02","Orebro","","SWE","SWE","77","195","2015","CBJ","1","29","29"
"913","Gabriel Fortier","T.B","L","24","2000-02-06","Lachine","QC","CAN","CAN","70","177","2018","T.B","2","28","59"
"269","Gabriel Landeskog","COL","L","31","1992-11-23","Stockholm","","SWE","SWE","73","215","2011","COL","1","2","2"
"788","Gabriel Vilardi","L.A, WPG","C, R","24","1999-08-16","Kingston","ON","CAN","CAN","75","215","2017","L.A","1","11","11"
"1126","Gage Goncalves","T.B","C","23","2001-01-16","","","CAN","","72","181","2020","T.B","2","31","62"
"452","Garnet Hathaway","BOS, PHI, WSH","R","32","1991-11-23","Kennebunkport","ME","USA","USA","75","208","-","-","-","-","-"
"721","Garrett Pilon","WSH","C","26","1998-04-13","Kindersley","SK","CAN","CAN","72","191","2016","WSH","3","26","87"
"759","Gavin Bayreuther","CBJ","D","30","1994-05-12","Canaan","NH","USA","USA","73","196","-","-","-","-","-"
"1240","Gavin Brindley","CBJ","C","19","2004-10-05","","","USA","","69","175","2023","CBJ","2","2","34"
"347","Gemel Smith","DET","C","30","1994-04-16","Toronto","ON","CAN","CAN","70","203","2012","DAL","4","13","104"
"1226","Georgii Merkulov","BOS","C","23","2000-10-10","Ryazan","","RUS","RUS","71","179","-","-","-","-","-"
"756","Gerry Mayhew","ANA, PHI","C","31","1992-12-31","Wyandotte","MI","USA","USA","69","161","-","-","-","-","-"
"690","Givani Smith","DET, FLA, S.J","R","26","1998-02-28","Thornhill","ON","CAN","CAN","74","214","2016","DET","2","16","46"
"566","Glenn Gawdin","ANA, CGY","C","27","1997-03-25","Richmond","BC","CAN","CAN","73","191","2015","STL","4","25","116"
"1016","Graeme Clarke","N.J","R","23","2001-04-24","Waconia","MN","USA","USA","72","175","2019","N.J","3","18","80"
"857","Grant Hutton","NYI","D","28","1995-07-25","Carmel","IN","USA","USA","76","214","-","-","-","-","-"
"186","Greg McKegg","NYR","C","31","1992-06-17","St. Thomas","ON","CAN","CAN","72","195","2010","TOR","3","2","62"
"121","Greg Pateryn","ANA","D","33","1990-06-20","Sterling Heights","MI","USA","USA","75","212","2008","TOR","5","7","128"
"238","Gregory Hofmann","CBJ","C","31","1992-11-13","Tramelan","","CHE","CHE","72","194","2011","CAR","4","12","103"
"902","Grigori Denisenko","FLA, VGK","L","23","2000-06-24","Novosibirsk","","RUS","RUS","71","186","2018","FLA","1","15","15"
"578","Guillaume Brisebois","VAN","D","26","1997-07-21","Longueuil","QC","CAN","CAN","74","175","2015","VAN","3","5","66"
"507","Gustav Forsling","FLA","D","28","1996-06-12","Linkoping","","SWE","SWE","72","186","2014","VAN","5","6","126"
"832","Gustav Lindström","ANA, DET, MTL","D","25","1998-10-20","Ostervala","","SWE","SWE","74","186","2017","DET","2","7","38"
"119","Gustav Nyquist","CBJ, MIN, NSH","C, L","34","1989-09-01","Halmstad","","SWE","SWE","71","180","2008","DET","4","30","121"
"413","Gustav Olofsson","SEA","D","29","1994-12-01","Boras","","SWE","SWE","74","199","2013","MIN","2","16","46"
"302","Hampus Lindholm","ANA, BOS","D","30","1994-01-20","Helsingborg","","SWE","SWE","76","215","2012","ANA","1","6","6"
"724","Hardy Haman Aktell","WSH","D","25","1998-07-04","Kage","","Swe","","75","198","2016","NSH","4","17","108"
"526","Hayden Hodgson","PHI","R","28","1996-03-02","Windsor","ON","CAN","CAN","74","208","-","-","-","-","-"
"461","Haydn Fleury","SEA, T.B","D","27","1996-07-08","Carlyle","SK","CAN","CAN","76","208","2014","CAR","1","7","7"
"1108","Hendrix Lapierre","WSH","C","22","2002-02-09","Gatineau","QC","CAN","CAN","72","180","2020","WSH","1","22","22"
"801","Henri Jokiharju","BUF","D","24","1999-06-17","Oulu","","FIN","FIN","72","200","2017","CHI","1","29","29"
"701","Henrik Borgstrom","CHI, WSH","C","26","1997-08-06","Helsinki","","FIN","FIN","75","199","2016","FLA","1","23","23"
"1011","Henry Thrun","S.J","D","23","2001-03-12","Southborough","MA","USA","USA","74","190","2019","ANA","4","8","101"
"387","Hudson Fasching","ARI, NYI","R","28","1995-07-28","Milwaukee","WI","USA","USA","75","204","2013","L.A","4","27","118"
"958","Hugh McGing","STL","L","25","1998-07-11","Chicago","IL","USA","USA","68","176","2018","STL","5","14","138"
"940","Hunter Drew","ANA","D","25","1998-10-21","Kingston","ON","CAN","CAN","74","191","2018","ANA","6","23","178"
"1237","Hunter McKown","CBJ","C","21","2002-08-18","San Jose","CA","USA","USA","73","205","-","-","-","-","-"
"67","Ian Cole","CAR, T.B, VAN","D","35","1989-02-21","Ann Arbor","MI","USA","USA","73","225","2007","STL","1","18","18"
"816","Ian Mitchell","BOS, CHI","D","25","1999-01-18","St. Albert","AB","CAN","CAN","71","193","2017","CHI","2","26","57"
"932","Ilya Lyubushkin","ANA, ARI, BUF, TOR","D","30","1994-04-06","Moscow","","RUS","RUS","74","200","-","-","-","-","-"
"1035","Ilya Mikheyev","TOR, VAN","R","29","1994-10-10","Omsk","","RUS","RUS","74","192","-","-","-","-","-"
"1140","Ilya Solovyov","CGY","D","23","2000-07-20","Mogilev","","BLR","BLR","75","208","2020","CGY","7","19","205"
"791","Isaac Ratcliffe","PHI","L","25","1999-02-15","London","ON","CAN","CAN","78","200","2017","PHI","2","4","35"
"1124","Isaak Phillips","CHI","D","22","2001-09-28","Barrie","ON","CAN","CAN","75","205","2020","CHI","5","17","141"
"884","Isac Lundestrom","ANA","C","24","1999-11-06","Gallivare","","SWE","SWE","72","193","2018","ANA","1","23","23"
"1180","Isak Rosen","BUF","R","21","2003-03-15","Solna","","SWE","SWE","71","156","2021","BUF","1","14","14"
"480","Ivan Barbashev","STL, VGK","C","28","1995-12-14","Moscow","","RUS","RUS","73","195","2014","STL","2","3","33"
"1214","Ivan Miroshnichenko","WSH","L","20","2004-02-04","","","RUS","","73","185","2022","WSH","1","20","20"
